,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017
3,1,0,0,0,1,0,3,2
4,2,4,1,1,5,6,5,9
5,3,3,8,0,6,8,12,21
6,0,3,2,9,7,11,16,23
7,2,7,8,10,9,15,32,29
8,2,4,7,5,9,16,33,40
9,6,4,8,11,8,14,32,41
10,3,6,7,10,10,17,34,51
11,4,4,9,4,14,17,50,59
12,5,6,4,15,16,20,58,91
13,4,6,12,10,33,41,86,216
14,9,19,23,46,49,88,200,346
15,22,23,28,72,103,133,254,415
16,19,27,56,58,138,193,340,426
17,12,23,31,56,55,94,218,217
18+ (Rejected),3,0,4,7,5,24,46,30
Total,97,139,208,314,468,697,1419,2016
